phone,data_gb,call_min,vas_sub,daily_data_used,Weekly_data_used,Monthly_data_used,av_expired_data,daily_av_call,weekly_av_call,monthly_av_call,manual_recommendation,manual_incentive
8038671200,0.16,262,True,574mb,2.53gb,9.91gb,127mb,35min,210min,630min,Auto-generated MTN recommendation,None
8061574471,0.63,130,False,90mb,457mb,1.51gb,154mb,11min,77min,231min,Auto-generated MTN recommendation,Data
7064818178,0.55,83,False,594mb,3.41gb,16.26gb,509mb,54min,216min,864min,Auto-generated MTN recommendation,Airtime
7066002718,0.11,270,True,1.3gb,6.31gb,29.39gb,0mb,38min,228min,684min,Auto-generated MTN recommendation,Data
8161964066,2.52,50,True,125mb,811mb,2.75gb,2.26gb,50min,200min,1000min,Auto-generated MTN recommendation,Airtime
7065288726,0.12,105,False,402mb,2.32gb,11.44gb,9mb,39min,234min,936min,Auto-generated MTN recommendation,Data
8063346117,7.7,111,False,1.27gb,8.49gb,39.83gb,1.37gb,14min,84min,252min,Auto-generated MTN recommendation,None
8136987311,2.36,147,True,64mb,368mb,1.51gb,2.15gb,21min,126min,504min,Auto-generated MTN recommendation,None
7064938400,9.01,37,True,955mb,6.43gb,20.74gb,2.71gb,28min,140min,700min,Auto-generated MTN recommendation,None
7037840624,2.86,106,True,125mb,618mb,2.12gb,2.86gb,27min,108min,540min,Auto-generated MTN recommendation,Data
8168847793,2.98,69,True,1.03gb,6.05gb,21.86gb,653mb,46min,276min,828min,Auto-generated MTN recommendation,Data
8139829283,1.63,50,False,1.56gb,10.19gb,33.08gb,1.41gb,60min,360min,1800min,Auto-generated MTN recommendation,Airtime
7065603998,13.28,65,True,1.6gb,9.44gb,28.56gb,12.89gb,37min,148min,592min,Auto-generated MTN recommendation,None
9068059377,0.18,209,True,1.4gb,5.97gb,26.26gb,120mb,21min,147min,735min,Auto-generated MTN recommendation,Data
8168312537,24.04,74,True,1.06gb,6.59gb,24.27gb,13.74gb,31min,124min,620min,Auto-generated MTN recommendation,Data
7034455038,6.75,108,True,375mb,2.47gb,11.15gb,6.32gb,13min,52min,156min,Auto-generated MTN recommendation,None
8135878874,6.91,98,False,1.0gb,6.21gb,30.4gb,5.44gb,40min,200min,600min,Auto-generated MTN recommendation,Airtime
8031695861,0.16,396,True,82mb,388mb,1.56gb,34mb,53min,371min,1855min,Auto-generated MTN recommendation,Data
8061097400,0.03,304,False,1.14gb,5.73gb,22.45gb,23mb,43min,215min,645min,Auto-generated MTN recommendation,None
9069709372,22.81,70,True,641mb,3.94gb,15.41gb,12.54gb,44min,176min,528min,Auto-generated MTN recommendation,None
8139887103,2.55,91,True,1.02gb,5.65gb,19.3gb,1.67gb,57min,285min,855min,Auto-generated MTN recommendation,Airtime
8063386586,20.95,66,True,241mb,1.31gb,4.55gb,4.7gb,40min,200min,600min,Auto-generated MTN recommendation,None
9037684841,0.21,248,False,1.57gb,8.53gb,26.55gb,46mb,22min,110min,440min,Auto-generated MTN recommendation,Data
8061290343,1.93,125,False,1.18gb,6.09gb,21.32gb,1.04gb,48min,240min,720min,Auto-generated MTN recommendation,Airtime
8033120543,2.43,129,False,36mb,238mb,833mb,2.33gb,30min,120min,480min,Auto-generated MTN recommendation,Data
9032747970,20.15,68,True,811mb,4.36gb,19.03gb,11.74gb,10min,60min,180min,Auto-generated MTN recommendation,Airtime
7034434645,2.67,147,False,1.21gb,6.33gb,31.01gb,1.3gb,46min,322min,1610min,Auto-generated MTN recommendation,Airtime
8163094824,2.23,149,False,1.97gb,9.21gb,32.14gb,2.03gb,10min,70min,210min,Auto-generated MTN recommendation,Data
8165495320,0.08,263,False,1.94gb,12.86gb,55.01gb,2mb,42min,252min,1260min,Auto-generated MTN recommendation,None
8067342515,1.19,143,True,984mb,5.33gb,20.41gb,508mb,47min,235min,1175min,Auto-generated MTN recommendation,Airtime
8035098362,4.27,52,False,1.69gb,9.02gb,27.63gb,1.29gb,21min,105min,420min,Auto-generated MTN recommendation,Data
8132482706,1.18,135,False,250mb,1.16gb,4.57gb,1.1gb,45min,225min,900min,Auto-generated MTN recommendation,None
8069235641,0.15,160,True,322mb,1.59gb,6.96gb,104mb,37min,259min,1036min,Auto-generated MTN recommendation,Airtime
8065585474,5.2,52,True,296mb,1.6gb,5.94gb,648mb,10min,60min,240min,Auto-generated MTN recommendation,Airtime
9065086223,0.07,265,True,1.41gb,9.31gb,36.17gb,5mb,47min,188min,564min,Auto-generated MTN recommendation,Airtime
7063724585,0.91,107,False,389mb,1.77gb,6.76gb,196mb,24min,144min,576min,Auto-generated MTN recommendation,None
8169194830,2.32,137,True,1.61gb,8.07gb,35.97gb,1.24gb,29min,116min,348min,Auto-generated MTN recommendation,Airtime
8139520304,0.13,296,True,474mb,3.22gb,13.21gb,73mb,33min,132min,660min,Auto-generated MTN recommendation,Airtime
7038093092,7.61,36,False,985mb,6.37gb,30.92gb,5.92gb,47min,329min,1316min,Auto-generated MTN recommendation,None
7067987569,0.11,382,True,381mb,2.21gb,9.56gb,20mb,17min,119min,357min,Auto-generated MTN recommendation,Airtime
7069674686,1.32,132,True,1.08gb,6.29gb,18.93gb,155mb,55min,385min,1925min,Auto-generated MTN recommendation,None
9069857925,1.2,70,False,1.34gb,6.94gb,24.0gb,268mb,36min,252min,1008min,Auto-generated MTN recommendation,None
8037664496,1.01,133,True,1.3gb,7.74gb,28.38gb,402mb,50min,200min,1000min,Auto-generated MTN recommendation,Data
9067009397,2.26,71,True,545mb,2.62gb,10.74gb,1.25gb,4min,16min,80min,Auto-generated MTN recommendation,Airtime
8065367063,6.32,69,False,878mb,5.77gb,27.95gb,884mb,18min,90min,270min,Auto-generated MTN recommendation,Airtime
9033336904,2.63,96,True,1.48gb,8.95gb,31.56gb,1.76gb,46min,276min,1380min,Auto-generated MTN recommendation,Airtime
9061226958,6.79,65,True,311mb,1.38gb,6.79gb,5.79gb,53min,265min,795min,Auto-generated MTN recommendation,None
8034213443,1.21,52,True,1.95gb,10.28gb,38.89gb,1.01gb,0min,0min,0min,Auto-generated MTN recommendation,Data
8034707425,0.22,394,False,1.83gb,12.2gb,60.86gb,86mb,55min,385min,1155min,Auto-generated MTN recommendation,Airtime
7035215063,8.7,10,True,1.98gb,13.05gb,57.86gb,2.95gb,9min,63min,189min,Auto-generated MTN recommendation,Data
7063049854,6.14,90,False,1.19gb,5.08gb,19.78gb,2.45gb,14min,70min,280min,Auto-generated MTN recommendation,Data
7065727692,0.26,165,True,473mb,2.47gb,12.31gb,220mb,51min,204min,1020min,Auto-generated MTN recommendation,Airtime
8068905021,6.23,80,True,1.88gb,10.41gb,38.7gb,5.49gb,13min,65min,260min,Auto-generated MTN recommendation,None
8163406262,1.81,135,True,807mb,5.39gb,26.25gb,1.32gb,9min,63min,252min,Auto-generated MTN recommendation,None
7063502751,0.22,384,False,250mb,1.18gb,4.15gb,209mb,3min,15min,75min,Auto-generated MTN recommendation,Airtime
9068028799,16.13,86,True,480mb,2.89gb,13.11gb,8.34gb,0min,0min,0min,Auto-generated MTN recommendation,Airtime
8032698533,0.12,266,False,1.69gb,11.48gb,50.43gb,0mb,51min,255min,1020min,Auto-generated MTN recommendation,Airtime
8034813732,0.03,287,True,1.9gb,10.48gb,36.48gb,20mb,56min,336min,1680min,Auto-generated MTN recommendation,Airtime
7036844634,0.56,90,False,935mb,3.82gb,14.22gb,73mb,3min,18min,90min,Auto-generated MTN recommendation,Airtime
8036564768,0.28,111,True,1.64gb,11.26gb,50.73gb,57mb,51min,204min,612min,Auto-generated MTN recommendation,None
9064435706,0.03,168,True,884mb,4.72gb,17.06gb,29mb,46min,276min,1380min,Auto-generated MTN recommendation,None
9062529971,2.91,55,False,1.93gb,8.06gb,34.79gb,1.19gb,5min,25min,75min,Auto-generated MTN recommendation,Airtime
9067391869,4.58,101,True,68mb,453mb,1.83gb,4.46gb,10min,70min,210min,Auto-generated MTN recommendation,None
7064216800,16.18,78,True,1.69gb,10.41gb,37.04gb,12.89gb,51min,357min,1071min,Auto-generated MTN recommendation,None
9069709424,0.06,370,False,483mb,2.72gb,13.34gb,29mb,6min,24min,72min,Auto-generated MTN recommendation,Data
8166492662,4.85,54,False,445mb,2.38gb,8.2gb,2.25gb,22min,88min,352min,Auto-generated MTN recommendation,Data
9035862570,19.72,82,True,1.53gb,6.7gb,25.22gb,6.18gb,45min,180min,720min,Auto-generated MTN recommendation,Data
8167454169,18.49,11,True,220mb,1.05gb,4.83gb,10.18gb,27min,189min,567min,Auto-generated MTN recommendation,Airtime
9069407461,1.03,137,False,1.33gb,8.44gb,28.43gb,739mb,12min,48min,240min,Auto-generated MTN recommendation,Airtime
8137376241,0.19,335,True,1.45gb,10.12gb,40.15gb,16mb,33min,165min,660min,Auto-generated MTN recommendation,None
8039274252,2.01,74,True,1.11gb,6.92gb,25.66gb,810mb,14min,70min,350min,Auto-generated MTN recommendation,Data
8067356805,0.25,356,True,761mb,3.46gb,11.88gb,156mb,60min,420min,1260min,Auto-generated MTN recommendation,Data
7066275465,0.02,111,True,544mb,2.68gb,11.8gb,5mb,15min,60min,180min,Auto-generated MTN recommendation,Data
8066340591,4.37,30,False,109mb,675mb,2.35gb,3.42gb,49min,196min,980min,Auto-generated MTN recommendation,Airtime
9038135608,0.24,148,False,143mb,757mb,3.31gb,130mb,20min,100min,500min,Auto-generated MTN recommendation,Airtime
8169086468,1.59,104,False,1.17gb,6.16gb,19.79gb,1.03gb,41min,205min,1025min,Auto-generated MTN recommendation,None
7061673569,0.13,218,True,463mb,2.44gb,11.56gb,6mb,40min,160min,800min,Auto-generated MTN recommendation,Airtime
8131272796,0.06,380,False,1.2gb,4.91gb,17.7gb,33mb,12min,84min,420min,Auto-generated MTN recommendation,None
7037454512,2.58,120,True,1.52gb,7.92gb,31.8gb,1.26gb,34min,238min,714min,Auto-generated MTN recommendation,None
8162324967,2.86,69,True,1.85gb,7.9gb,25.77gb,331mb,50min,200min,1000min,Auto-generated MTN recommendation,Data
8137088926,1.75,113,True,314mb,1.74gb,6.03gb,1.01gb,41min,205min,615min,Auto-generated MTN recommendation,None
8037091368,0.21,348,True,1.77gb,7.58gb,36.55gb,156mb,30min,180min,720min,Auto-generated MTN recommendation,Data
7037554077,4.81,36,False,766mb,3.35gb,13.85gb,3.2gb,16min,64min,320min,Auto-generated MTN recommendation,None
8062387602,0.08,145,False,464mb,3.03gb,14.61gb,2mb,23min,161min,805min,Auto-generated MTN recommendation,Airtime
8136827550,1.71,65,True,249mb,1.15gb,4.91gb,87mb,59min,354min,1770min,Auto-generated MTN recommendation,None
8139195100,5.19,66,True,1.27gb,5.13gb,18.04gb,168mb,13min,78min,312min,Auto-generated MTN recommendation,Data
7039382983,2.87,97,False,1.63gb,7.2gb,34.64gb,2.36gb,49min,343min,1372min,Auto-generated MTN recommendation,Data
9033153723,1.32,149,True,926mb,5.35gb,16.47gb,192mb,46min,276min,1104min,Auto-generated MTN recommendation,Airtime
9069876559,0.12,261,True,1.97gb,8.94gb,40.93gb,12mb,16min,64min,192min,Auto-generated MTN recommendation,Airtime
8166285718,4.99,79,True,376mb,1.76gb,7.34gb,213mb,22min,110min,440min,Auto-generated MTN recommendation,Airtime
9038375001,4.24,113,True,404mb,2.31gb,10.59gb,3.11gb,1min,6min,30min,Auto-generated MTN recommendation,None
8135020911,0.05,391,True,1.48gb,6.61gb,32.55gb,2mb,59min,295min,1475min,Auto-generated MTN recommendation,None
7062110407,7.33,30,False,1.18gb,5.05gb,22.14gb,3.44gb,25min,150min,450min,Auto-generated MTN recommendation,None
8131852536,0.18,231,True,1.12gb,6.21gb,24.05gb,69mb,38min,152min,456min,Auto-generated MTN recommendation,Airtime
7032000101,2.02,66,True,1.74gb,10.69gb,51.42gb,130mb,1min,5min,20min,Auto-generated MTN recommendation,Data
7067452283,2.52,89,True,683mb,2.78gb,12.39gb,350mb,1min,6min,18min,Auto-generated MTN recommendation,Airtime
9061956902,2.08,123,False,1.65gb,8.1gb,35.22gb,160mb,30min,150min,750min,Auto-generated MTN recommendation,Airtime
9039002556,7.21,43,True,678mb,4.05gb,15.69gb,1.0gb,51min,357min,1785min,Auto-generated MTN recommendation,Data
8065686085,1.7,141,True,470mb,2.61gb,12.48gb,1.43gb,50min,200min,1000min,Auto-generated MTN recommendation,Data
8031669593,2.07,136,True,376mb,1.62gb,6.61gb,1.7gb,16min,112min,448min,Auto-generated MTN recommendation,None
8163120809,7.5,78,False,1.26gb,7.81gb,29.46gb,7.22gb,12min,60min,180min,Auto-generated MTN recommendation,Airtime
8063092711,4.51,69,True,1.69gb,6.97gb,26.28gb,3.28gb,24min,144min,576min,Auto-generated MTN recommendation,Data
7031489134,6.19,70,False,164mb,810mb,2.83gb,131mb,3min,18min,54min,Auto-generated MTN recommendation,Airtime
9033837529,0.26,133,True,1.16gb,8.0gb,33.55gb,197mb,8min,32min,160min,Auto-generated MTN recommendation,Data
9033476873,0.27,276,False,920mb,5.79gb,24.65gb,160mb,15min,105min,315min,Auto-generated MTN recommendation,Data
9068097547,1.3,65,True,1.23gb,5.69gb,25.08gb,435mb,15min,75min,300min,Auto-generated MTN recommendation,None
8138512142,23.25,81,True,1.64gb,9.1gb,31.12gb,13.51gb,50min,200min,600min,Auto-generated MTN recommendation,None
8033649179,0.18,199,True,86mb,374mb,1.64gb,121mb,25min,175min,700min,Auto-generated MTN recommendation,None
8061523629,9.06,39,True,1.43gb,9.3gb,29.15gb,2.5gb,38min,266min,1064min,Auto-generated MTN recommendation,Airtime
7063139896,5.34,75,False,220mb,919mb,3.18gb,376mb,57min,399min,1197min,Auto-generated MTN recommendation,None
7064576311,0.19,198,True,176mb,812mb,3.85gb,63mb,9min,36min,108min,Auto-generated MTN recommendation,Data
9062500531,7.72,87,False,1.49gb,7.4gb,30.56gb,4.11gb,25min,175min,525min,Auto-generated MTN recommendation,Data
8169992655,2.0,67,True,161mb,1.08gb,4.68gb,884mb,33min,231min,1155min,Auto-generated MTN recommendation,Airtime
7064227029,0.29,123,True,582mb,3.39gb,10.88gb,233mb,16min,112min,336min,Auto-generated MTN recommendation,Airtime
7062451065,13.57,36,False,191mb,1.27gb,4.29gb,5.06gb,25min,175min,525min,Auto-generated MTN recommendation,Data
8035048916,17.59,58,False,102mb,554mb,2.03gb,4.66gb,58min,232min,928min,Auto-generated MTN recommendation,Airtime
9066206186,2.57,99,True,1.22gb,6.73gb,23.85gb,911mb,52min,260min,780min,Auto-generated MTN recommendation,Data
8066525362,6.14,42,True,273mb,1.44gb,4.99gb,5.13gb,17min,119min,357min,Auto-generated MTN recommendation,Airtime
7064571925,6.59,57,True,1.55gb,7.59gb,29.14gb,4.92gb,23min,161min,483min,Auto-generated MTN recommendation,Airtime
9061705470,7.83,107,True,1.8gb,10.68gb,34.4gb,5.01gb,8min,32min,160min,Auto-generated MTN recommendation,Airtime
9031804162,4.26,76,False,409mb,1.6gb,5.0gb,1.28gb,42min,294min,1470min,Auto-generated MTN recommendation,Airtime
8162255159,7.31,45,False,524mb,3.27gb,11.9gb,2.08gb,47min,188min,752min,Auto-generated MTN recommendation,Airtime
7068916832,1.32,75,True,1.39gb,7.76gb,30.83gb,651mb,20min,80min,400min,Auto-generated MTN recommendation,None
8164472256,4.59,46,False,388mb,2.11gb,10.22gb,2.84gb,19min,114min,456min,Auto-generated MTN recommendation,Airtime
8061819881,4.63,63,False,595mb,3.27gb,13.66gb,4.6gb,2min,10min,50min,Auto-generated MTN recommendation,None
7065849020,1.36,57,False,1.67gb,11.02gb,53.58gb,12mb,48min,336min,1344min,Auto-generated MTN recommendation,None
8037821750,2.03,108,True,619mb,2.51gb,8.91gb,849mb,35min,210min,1050min,Auto-generated MTN recommendation,None
8034938069,0.15,265,False,930mb,4.35gb,19.22gb,9mb,52min,312min,1248min,Auto-generated MTN recommendation,Data
8036537120,10.66,68,True,837mb,3.88gb,15.73gb,9.99gb,41min,287min,1148min,Auto-generated MTN recommendation,Airtime
8069371132,8.21,66,True,1.08gb,7.02gb,35.05gb,3.78gb,59min,236min,1180min,Auto-generated MTN recommendation,Airtime
7032062634,2.49,77,True,1.89gb,12.61gb,57.5gb,1.15gb,16min,80min,320min,Auto-generated MTN recommendation,Data
8137576407,2.99,147,True,844mb,3.36gb,16.36gb,246mb,18min,90min,270min,Auto-generated MTN recommendation,None
8068089710,5.21,32,False,1.22gb,6.66gb,28.07gb,649mb,12min,72min,288min,Auto-generated MTN recommendation,Data
8036971332,2.17,128,True,1.63gb,9.34gb,29.59gb,1.31gb,1min,5min,25min,Auto-generated MTN recommendation,Data
7035676102,0.19,146,False,1.68gb,10.81gb,43.82gb,161mb,46min,184min,552min,Auto-generated MTN recommendation,Data
7033837071,4.36,109,False,13mb,86mb,299mb,1.15gb,23min,161min,483min,Auto-generated MTN recommendation,None
9063777147,0.17,355,False,285mb,1.61gb,7.6gb,162mb,35min,140min,700min,Auto-generated MTN recommendation,Airtime
8035323629,0.14,367,False,378mb,2.16gb,8.56gb,113mb,56min,392min,1568min,Auto-generated MTN recommendation,Airtime
8034752785,14.07,35,True,468mb,3.16gb,13.0gb,198mb,47min,188min,940min,Auto-generated MTN recommendation,Airtime
8131214002,1.38,122,True,1.93gb,7.76gb,23.92gb,1.11gb,32min,224min,672min,Auto-generated MTN recommendation,Data
8065215721,0.08,376,True,1.49gb,9.48gb,42.4gb,81mb,5min,35min,105min,Auto-generated MTN recommendation,None
8132626843,2.5,87,True,118mb,536mb,2.13gb,2.15gb,25min,175min,525min,Auto-generated MTN recommendation,Data
9067491961,4.98,66,True,120mb,704mb,3.22gb,4.86gb,45min,225min,1125min,Auto-generated MTN recommendation,Airtime
9039261535,5.64,69,True,117mb,610mb,2.72gb,3.54gb,48min,336min,1680min,Auto-generated MTN recommendation,Airtime
8134791050,17.66,62,True,164mb,835mb,2.83gb,8.18gb,57min,399min,1596min,Auto-generated MTN recommendation,Data
8037749067,6.92,77,True,1.51gb,10.23gb,44.78gb,484mb,13min,65min,260min,Auto-generated MTN recommendation,Data
8038941461,0.05,190,True,998mb,4.09gb,12.84gb,36mb,41min,205min,615min,Auto-generated MTN recommendation,Airtime
8165292407,2.13,84,False,116mb,766mb,2.7gb,813mb,32min,224min,896min,Auto-generated MTN recommendation,None
7035785702,7.41,103,True,1.9gb,12.07gb,48.17gb,6.28gb,46min,322min,1288min,Auto-generated MTN recommendation,None
8165173035,0.25,258,True,1.62gb,8.19gb,25.27gb,250mb,27min,108min,324min,Auto-generated MTN recommendation,Airtime
8139086795,4.03,87,True,436mb,2.97gb,11.56gb,3.15gb,0min,0min,0min,Auto-generated MTN recommendation,Data
8132873622,4.37,56,True,845mb,4.72gb,18.46gb,11mb,23min,138min,690min,Auto-generated MTN recommendation,Airtime
9032551544,0.14,173,True,1001mb,3.98gb,12.47gb,57mb,51min,357min,1785min,Auto-generated MTN recommendation,Data
9037961128,1.31,56,False,1.17gb,5.24gb,24.52gb,881mb,17min,102min,408min,Auto-generated MTN recommendation,Data
8062980317,0.19,376,True,1.22gb,7.55gb,29.57gb,123mb,40min,280min,1120min,Auto-generated MTN recommendation,None
9038564786,0.02,139,True,499mb,2.95gb,11.29gb,14mb,7min,42min,210min,Auto-generated MTN recommendation,Airtime
8133018055,13.61,100,False,375mb,1.47gb,4.6gb,1.81gb,8min,32min,160min,Auto-generated MTN recommendation,Data
9034889316,1.03,124,True,413mb,1.89gb,8.67gb,381mb,57min,228min,912min,Auto-generated MTN recommendation,Data
8062418265,0.2,200,True,900mb,6.02gb,18.81gb,53mb,24min,120min,360min,Auto-generated MTN recommendation,Airtime
8138882440,7.9,55,False,80mb,395mb,1.37gb,835mb,1min,4min,12min,Auto-generated MTN recommendation,None
8036632760,0.17,290,True,104mb,579mb,2.06gb,169mb,38min,228min,684min,Auto-generated MTN recommendation,None
8137429390,6.34,30,False,1.76gb,10.48gb,34.25gb,2.1gb,10min,50min,200min,Auto-generated MTN recommendation,None
8067807704,0.28,210,True,1.02gb,5.83gb,26.74gb,137mb,56min,336min,1344min,Auto-generated MTN recommendation,None
7065833808,1.59,54,True,1.44gb,8.1gb,33.42gb,1.15gb,4min,16min,48min,Auto-generated MTN recommendation,None
8168410472,2.82,93,False,179mb,749mb,2.66gb,2.77gb,23min,161min,644min,Auto-generated MTN recommendation,Airtime
8069503236,7.17,62,True,223mb,1.04gb,4.38gb,2.11gb,57min,342min,1368min,Auto-generated MTN recommendation,Data
7062682425,3.97,46,True,639mb,3.74gb,15.07gb,3.39gb,52min,364min,1092min,Auto-generated MTN recommendation,Airtime
9062332763,1.01,115,True,650mb,3.17gb,11.25gb,932mb,56min,336min,1008min,Auto-generated MTN recommendation,Data
7038261157,0.25,177,False,1.77gb,7.26gb,36.16gb,233mb,7min,49min,147min,Auto-generated MTN recommendation,Airtime
8137782387,0.25,171,False,1.98gb,9.05gb,31.27gb,201mb,18min,72min,288min,Auto-generated MTN recommendation,None
8135412296,5.86,118,False,1.79gb,8.72gb,27.2gb,5.5gb,1min,6min,30min,Auto-generated MTN recommendation,Airtime
8161655659,0.11,400,False,1.48gb,6.49gb,26.34gb,108mb,22min,110min,550min,Auto-generated MTN recommendation,Data
8137057901,0.11,298,True,218mb,1.41gb,6.34gb,97mb,43min,215min,1075min,Auto-generated MTN recommendation,None
9033899854,1.58,142,True,156mb,667mb,3.19gb,40mb,2min,8min,32min,Auto-generated MTN recommendation,Data
8039478828,0.12,370,True,1.32gb,7.72gb,37.78gb,25mb,44min,308min,1540min,Auto-generated MTN recommendation,Airtime
8037780286,0.12,191,True,1.97gb,10.37gb,50.46gb,8mb,13min,52min,260min,Auto-generated MTN recommendation,Data
9067418866,2.98,116,True,268mb,1.66gb,7.1gb,1.94gb,15min,90min,450min,Auto-generated MTN recommendation,Data
7069950254,2.53,133,True,1.09gb,6.44gb,26.2gb,236mb,15min,90min,450min,Auto-generated MTN recommendation,Data
8062311757,0.12,254,True,1.87gb,12.34gb,54.16gb,21mb,39min,195min,975min,Auto-generated MTN recommendation,Airtime
8131442822,7.06,68,False,1.56gb,10.43gb,50.85gb,2.79gb,58min,406min,2030min,Auto-generated MTN recommendation,Data
8032242716,2.7,63,False,1.15gb,4.75gb,16.5gb,2.26gb,18min,90min,450min,Auto-generated MTN recommendation,None
8132387718,0.21,308,False,1.01gb,5.33gb,16.88gb,209mb,44min,308min,1540min,Auto-generated MTN recommendation,Airtime
7064308240,3.45,100,True,236mb,1.01gb,4.74gb,332mb,2min,10min,40min,Auto-generated MTN recommendation,None
8168780239,0.28,173,False,1.24gb,6.4gb,20.67gb,2mb,12min,48min,192min,Auto-generated MTN recommendation,Data
8038411814,7.56,118,False,1003mb,5.24gb,16.07gb,4.7gb,39min,273min,1365min,Auto-generated MTN recommendation,Data
8164678380,6.74,99,True,1.98gb,10.28gb,36.28gb,160mb,0min,0min,0min,Auto-generated MTN recommendation,Airtime
9066604943,1.05,96,True,1.46gb,9.15gb,37.3gb,583mb,2min,14min,70min,Auto-generated MTN recommendation,Data
9065829492,0.01,191,False,1.42gb,6.99gb,27.09gb,6mb,25min,175min,700min,Auto-generated MTN recommendation,Data
8036593531,1.8,88,True,1.94gb,8.32gb,37.09gb,1.22gb,5min,20min,100min,Auto-generated MTN recommendation,Airtime
9069464697,0.07,184,True,854mb,4.92gb,24.23gb,63mb,20min,100min,400min,Auto-generated MTN recommendation,Airtime
7034162342,0.28,333,True,1.71gb,7.08gb,28.7gb,181mb,20min,120min,480min,Auto-generated MTN recommendation,Data
7031001965,1.9,139,True,1.47gb,6.93gb,28.42gb,854mb,39min,273min,1365min,Auto-generated MTN recommendation,Data
9038895812,0.28,177,True,1.26gb,8.63gb,28.35gb,205mb,29min,203min,1015min,Auto-generated MTN recommendation,Airtime
8168081571,1.39,136,False,1.4gb,7.01gb,29.59gb,138mb,38min,190min,760min,Auto-generated MTN recommendation,Airtime
9032880034,2.33,79,False,567mb,2.86gb,11.04gb,801mb,18min,90min,450min,Auto-generated MTN recommendation,Data
8131867466,0.7,98,True,569mb,3.36gb,15.31gb,241mb,22min,110min,330min,Auto-generated MTN recommendation,Data
8163515810,0.16,271,True,1.91gb,11.04gb,38.52gb,25mb,8min,40min,160min,Auto-generated MTN recommendation,Data
8066050435,1.41,103,False,952mb,4.3gb,19.61gb,1.34gb,46min,184min,736min,Auto-generated MTN recommendation,Data
8064822126,0.1,289,True,1.83gb,9.61gb,44.65gb,63mb,45min,225min,900min,Auto-generated MTN recommendation,Data
9034482360,1.77,80,False,1.77gb,10.85gb,51.02gb,920mb,13min,65min,260min,Auto-generated MTN recommendation,None
9061523204,4.07,88,False,522mb,2.92gb,10.76gb,166mb,29min,174min,870min,Auto-generated MTN recommendation,Data
9037267574,5.78,40,True,428mb,1.86gb,8.12gb,3.27gb,11min,44min,220min,Auto-generated MTN recommendation,Airtime
9031431593,1.27,78,True,1.19gb,6.87gb,28.32gb,385mb,24min,144min,720min,Auto-generated MTN recommendation,Airtime
8038237406,6.46,76,False,1.73gb,12.06gb,54.55gb,2.32gb,12min,84min,252min,Auto-generated MTN recommendation,None
8065556939,16.53,26,False,12mb,76mb,365mb,12.04gb,31min,186min,558min,Auto-generated MTN recommendation,Airtime
7068817904,6.52,68,False,116mb,550mb,2.53gb,4.58gb,51min,357min,1785min,Auto-generated MTN recommendation,Data
8165052550,0.2,100,True,1.74gb,9.71gb,29.89gb,115mb,21min,126min,630min,Auto-generated MTN recommendation,Airtime
8067024251,1.64,97,False,1008mb,5.15gb,23.44gb,625mb,3min,21min,105min,Auto-generated MTN recommendation,Airtime
9061177859,3.03,115,True,543mb,3.13gb,14.99gb,2.04gb,12min,84min,252min,Auto-generated MTN recommendation,Data
8034203879,1.54,125,False,1.53gb,10.37gb,46.98gb,1.45gb,36min,252min,1260min,Auto-generated MTN recommendation,Data
7068684504,0.99,81,True,492mb,1.99gb,6.74gb,455mb,29min,145min,725min,Auto-generated MTN recommendation,Airtime
8134438952,3.26,115,True,531mb,2.3gb,7.22gb,1.1gb,16min,64min,256min,Auto-generated MTN recommendation,Airtime
7064077748,0.26,289,True,887mb,5.2gb,20.81gb,195mb,3min,21min,105min,Auto-generated MTN recommendation,None
8163297252,2.11,145,True,1.23gb,8.07gb,34.04gb,1.84gb,14min,98min,392min,Auto-generated MTN recommendation,Data
9063182786,2.71,132,False,645mb,3.44gb,13.07gb,2.27gb,1min,7min,35min,Auto-generated MTN recommendation,Airtime
9064218925,1.47,69,False,928mb,4.29gb,16.58gb,1.4gb,57min,399min,1995min,Auto-generated MTN recommendation,Airtime
8139806854,2.11,124,False,253mb,1.19gb,4.6gb,53mb,38min,266min,798min,Auto-generated MTN recommendation,Airtime
9064005657,3.06,78,True,643mb,2.57gb,8.02gb,729mb,59min,354min,1416min,Auto-generated MTN recommendation,Data
8061406974,1.63,62,True,526mb,3.47gb,16.27gb,1.06gb,46min,322min,1288min,Auto-generated MTN recommendation,Airtime
8166916344,6.03,113,False,817mb,4.27gb,13.12gb,3.24gb,55min,330min,1650min,Auto-generated MTN recommendation,Airtime
8036491097,0.98,63,True,1.48gb,8.35gb,34.08gb,793mb,3min,21min,84min,Auto-generated MTN recommendation,None
7063509022,0.01,381,True,1.07gb,7.17gb,31.88gb,7mb,41min,287min,861min,Auto-generated MTN recommendation,Data
8068822894,2.47,122,True,1.56gb,7.1gb,31.17gb,1.89gb,30min,180min,540min,Auto-generated MTN recommendation,Data
9031459422,2.94,74,True,365mb,2.46gb,9.32gb,1.85gb,21min,126min,378min,Auto-generated MTN recommendation,Airtime
7039742102,0.95,136,True,1.77gb,9.1gb,42.98gb,224mb,34min,170min,680min,Auto-generated MTN recommendation,None
9063779077,0.19,324,True,472mb,3.1gb,14.92gb,46mb,49min,294min,1470min,Auto-generated MTN recommendation,Data
